date;time;Temperatur;delta_t;G (målt);;;OG;FG;;;;;
28.09.2025;20:00:00;20;0;1,065;;;1,065;1,015;;;;;
29.09.2025;14:39:51;17,8;0,78;1,064;;;;;;;;;
30.09.2025;08:34:14;18,3;1,52;1,057;;;;;;;;;
30.09.2025;12:22:20;18,9;1,68;1,056;;;;;;;;;
01.10.2025;07:46:00;18,9;2,49;1,051;;;;;;;;;
03.10.2025;23:10:05;18,3;5,13;1,04;;;;;;;;;
05.10.2025;16:19:21;18,3;6,85;1,033;;;;;;;;;
06.10.2025;21:36:25;18,3;8,07;1,032;;;;;;;;;
07.10.2025;09:31:53;18,3;8,56;1,031;;;;;;;;;
08.10.2025;07:19:06;17,8;9,47;1,028;;;;;;;;;
08.10.2025;17:00:13;17,8;9,88;1,029;;;;;;;;;
09.10.2025;08:43:37;17,8;10,53;1,027;;;;;;;;;
;;;13;;;;;;;;;;
;;;14;;;;;;;;;;
;;;15;;;;;;;;;;
;;;16;;;;;;;;;;
;;;17;;;;;;;;;;
